brand,description,price,url,processor,memory,ssd,gpu,model
ASUS,"ASUS VivoBook 15.6"" Laptop - Intel i9-13900H - 16GB RAM - 1TB SSD - Windows 11 Home (F1502VA-NS96)",$899.99 –,https://www.newegg.com/asus-vivobook-15-6-fhd-non-touch-screen-intel-core-i9-13900h-intel-iris-xe-graphics-16gb-memory-1-tb-pcie-ssd-quiet-blue/p/N82E16834236520,Intel Core i9-13900H,16GB,1TB PCIe,Intel Iris Xe Graphics,F1502VA-NS96
BiTECOOL,"BiTECOOL 15.6-inch FHD IPS Laptop, 8GB RAM 256GB SSD AMD 3020e (up to 2.6GHz), 2.4/5G WiFi Bluetooth 5.0, Windows 11 Pro Lightweight Portable Notebook",$219.00 –,https://www.newegg.com/bitecool-15-6/p/1TS-00GJ-00020,AMD 3020e,8GB,256GB,,BTC518
Auusda,"Auusda EXSURF 16"" Business Laptop, AMD Ryzen 5 7430U, 16GB Dual Channel RAM, 1TB SSD, Windows 11 Pro, 1200P FHD IPS, WiFi 6, Privacy Camera, Backlight, Fingerprint, Full Type-C, Gray",$429.99 –,https://www.newegg.com/exsurf-16-0/p/1TS-00TY-00002,AMD Ryzen™ 5 7430U,16GB,1TB NVMe,AMD Radeon™ Graphics,F17100414
Auusda,"Auusda T160R Laptop, 16"" FHD Display Computer, AMD Ryzen 5 3500U up to 3.7GHz, 32GB RAM, 1TB SSD, Dual Full-Type C| Fingerprint | Backlit keys | Windows 11 Pro, Black",$479.99 –,https://www.newegg.com/exsurf-16-0/p/1TS-00TY-00004,AMD Ryzen™ 5 3500U,32GB,1TB NVMe,AMD Radeon RX Vega 7,F17250515
Refurbished,"Refurbished Lenovo ThinkPad T14 Gen 3 14"" WUXGA IPS Intel Core i7-1265U 3.60 GHz up to 4.80 GHz 16GB DDR4 256GB SSD Intel UHD Graphics Windows 11 Pro Laptop, Black - 21AJS10F00-I010",$499.99 –,https://www.newegg.com/lenovo-14-0-intel-uhd-graphics-16gb-memory-256-gb-ssd-black/p/1TS-000E-1DZA2,,16GB,256 GB,Intel UHD Graphics,21AJS10F00-I010-R
Refurbished,"Refurbished Dell Latitude 5430 Laptop Intel Core i7-1265U 32GB RAM 512GB SSD 14.0"" FHD Windows 11 Pro",$469.99 –,https://www.newegg.com/dell-latitude-14-0-fhd-non-touch-screen-intel-core-i5-8350u-intel-uhd-graphics-620-8gb-memory-256gb-nvme-ssd-black/p/N82E16834817529,Intel Core i7-1265U,32GB DDR4,512GB NVMe,,LT-DE5430/i7-G12-32-512
HP,"HP EliteBook 16.0"" Intel Core Ultra 5 125U 16GB Memory 512GB SSD Windows 11 Pro 64-bit 860",$869.99 –,https://www.newegg.com/hp-elitebook-16-0-touch-screen-intel-core-ultra-5-125u-intel-graphics-16gb-memory-512gb-ssd-silver/p/N82E16834818515,Intel Core Ultra 5 125U,16GB,512GB,Intel Graphics,A6TD8UT#ABA
Lenovo,"Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition 21NS0166US 14"" Copilot+  Ultrabook - Intel Core Ultra 7 258V - 32 GB - 512 GB SSD - Intel Arc Graphics 140V - Windows 11 Pro - Webcam - Wi-Fi 7","$1,844.49 –",https://www.newegg.com/lenovo-14-0-32gb-memory/p/1TS-000E-1E4N7,Intel Core Ultra 7 258V,32GB,512GB,,21NS0166US
Asus,"Asus VivoBook 16"" Copilot+ PC Laptop AMD Ryzen AI 7 350 16GB DDR5 Memory 512GB PCIE SSD Windows 11 Home (M1607KA-NS76)",$749.99 –,https://www.newegg.com/asus-vivobook-16-0-amd-ryzen-ai-7-350-ddr5-16gb-16gb-ddr5-on-board-memory-512gb-pcie-g4-ssd-ssd/p/N82E16834236650,AMD Ryzen AI 7 350,16GB DDR5,512GB PCIE G4 SSD,,M1607KA-NS76
NIAKUN,"NIAKUN Gaming Laptop,Windows 11 Pro Laptops with Office 365,16 Inch Laptop Computer 2026,16GB RAM 1TB SSD,N150 Processor(4C/4T),6000 mAh Battery,Backlit Keyboard,1200P FHD,2-Year Warranty,Business",$422.99 –,https://www.newegg.com/niakun-16-inches-intel-uhd-graphics-lcd-16gb-memory-1tb-ssd/p/2WC-007P-00005?Item=9SIC655KUP9883&cm_sp=SP-_-3239047-_-0-_-0-_-9SIC655KUP9883-_-laptop-_-laptop-_-5,,16GB,,Intel UHD Graphics,NY-08-1
BiTECOOL,"BiTECOOL 15.6-inch Windows 11 Laptop, 16GB RAM, 512GB SSD, FHD IPS Display Laptop Computer, Intel N5095 Quad Core, 2.4/5G WiFi, BT4.2 Backlit and Fingerprint, Lightweight and Portable, Pink",$259.00 –,https://www.newegg.com/bitecool-15-6-non-touch-screen-intel-celeron-n5095-intel-uhd-graphics-16-gb-lpddr4-memory-512-gb-sata3-ssd-pink/p/1TS-00GJ-00013?Item=9SIBZ0YKJE4392&cm_sp=SP-_-2869958-_-0-_-2-_-9SIBZ0YKJE4392-_-laptop-_-laptop-_-6,Intel Celeron N5095,16 GB LPDDR4,512 GB SATA3,Intel UHD Graphics,BTC501-Pink
Dell,"Dell Pro 16 PC16250 16"" Notebook - Intel Core Ultra 5 235U - 16 GB - 512 GB SSD - Windows 11 Pro - Webcam - 8.30 Hours Battery - IEEE 802.11ax Wireless LAN Standard   GRG36",$999.99 –,https://www.newegg.com/dell-pro-16-16-0-fhd-non-touch-screen-intel-core-ultra-5-235u-intel-iris-graphics-16gb-memory-512-gb-ssd-platinum-silver/p/N82E16834817348,Intel Core Ultra 5 235U,16GB,512GB,Intel Iris Graphics,GRG36
Lenovo,"Lenovo ThinkPad T14s Gen 6 21N1002DUS 14"" Copilot+ PC Notebook - WUXGA - Qualcomm Snapdragon X1P-42-100 - 16 GB - 512 GB SSD - English Keyboard - Black - Qualcomm Chip - 1920 x 1200 - Windows 11","$1,444.99 –",https://www.newegg.com/lenovo-14-0-non-touch-screen-qualcomm-snapdragon-x-plus-x1p-42-100-16gb-memory-512-gb-ssd/p/1TS-000E-1C4U1,Qualcomm Snapdragon X Plus X1P-42-100,16GB LPDDR5X,512GB,Qualcomm Adreno,21N1002DUS
BiTECOOL,"BiTECOOL Laptop Computer 15.6 inch, Intel Quad Core N95, 12GB LPDDR5 RAM 512GB NVMe SSD Laptop with FHD IPS Display, WiFi 5, BT5.0, USB Type C and Fingerprint, 2 Years Warranty, Windows 11 Pro",$279.00 –,https://www.newegg.com/bitecool-15-6/p/1TS-00GJ-00015?Item=9SIBZ0YKK97984&cm_sp=SP-_-2908035-_-0-_-2-_-9SIBZ0YKK97984-_-laptop-_-laptop-_-9,Intel Processor N95,12GB,512GB,,BTC512-154N-512GB
ACEMAGIC,"ACEMAGIC Laptop 15.6 FHD Laptop, AMD Ryzen 3 4300U, 16GB RAM, 512GB SSD, Windows 11 Pro, Graphite, WiFi 6, Backlit KB, Gray",$279.00 –,https://www.newegg.com/acemagic-15-6/p/1TS-00NN-00013?Item=9SIBUU5KRJ0954&cm_sp=SP-_-3152937-_-0-_-2-_-9SIBUU5KRJ0954-_-laptop-_-laptop-_-10,AMD Ryzen 3 4300U,16GB,512GB,,4300ulx15pro
Lenovo,"Lenovo Yoga 7i 2-in-1 Business Laptop (16"" FHD+ Touchscreen, Intel Ultra 7 155U (Beat i7-1355U), 16GB DDR5 RAM, 1TB SSD) Backlit, Fingerprint, FHD IR Webcam, Thunderbolt 4, Win 11 Pro, 2025 AI PC",$899.99 –,https://www.newegg.com/lenovo-yoga-16-0-fhd-touch-screen-intel-core-ultra-7-155u-intel-graphics-16gb-memory-1-tb-nvme-ssd-gray/p/1TS-000E-1D0H5,Intel Core Ultra 7 155U,16GB,1TB NVMe,Intel Graphics,Lenovo Yoga 7i Win11P Touch U7 16GB 1TB
Lenovo,"Lenovo - IdeaPad Slim 3 15.6"" Full HD Touchscreen Laptop - AMD Ryzen 7 5825U - 16GB Memory - 512GB SSD - Arctic Grey",$555.79 –,https://www.newegg.com/lenovo-ideapad-15-6-touch-screen-16gb-memory-512-gb-ssd-arctic-grey/p/1TS-000E-1DK92,,16GB,512GB,,82XM00LMUS
Lenovo,"Lenovo ThinkPad E16 Gen 2 16.0"" AMD Ryzen 5 7535U AMD Radeon 660M 16GB Memory 256GB SSD Windows 11 Pro 21M5000GUS","$1,117.23 –",https://www.newegg.com/lenovo-16-0-non-touch-screen-amd-ryzen-5-7535u-amd-radeon-660m-16gb-memory-256-gb-ssd/p/1TS-000E-1B7W3,AMD Ryzen 5 7535U,16GB,256GB,AMD Radeon 660M,21M5000GUS
HP,"HP EliteBook 6 G1i 14"" Notebook - Intel Core Ultra 7 265U - 16 GB - 512 GB SSD - Intel Graphics - Windows 11 Pro - Webcam - Wi-Fi 7 - D4EB2UT#ABA","$1,479.99 –",https://www.newegg.com/hp-14-0-no-16gb-memory/p/1TS-000D-1SMG4,Intel Core Ultra 7 265U,16GB,512GB,Intel Graphics,D4EB2UT#ABA
Lenovo,"Lenovo ThinkPad P16 Gen 3 16"" Mobile Workstation - Intel Core Ultra 7 255HX - 32 GB - 1 TB SSD - Windows 11 Pro - NVIDIA RTX PRO 2000 Blackwell 8 GB - Webcam - Wi-Fi 7 (21RQ0018US)","$2,689.99 –",https://www.newegg.com/lenovo-16-0/p/1TS-000E-1DV40,Intel Core Ultra 7 255HX,32GB,1TB,NVIDIA RTX PRO 2000 Blackwell,21RQ0018US
Hasee,"Hasee T8 Pro-16'' GeForce RTX 5080 Laptop GPU  Intel i9-14900HX-5.8GHz, AI Gaming Laptop, 32G DDR5 RAM, 2TB SSD, 16'' 240Hz QHD+ 100%sRGB IPS Display, RGB KB, WiFi 7,BT5.4,Win11, Mecha Grey","$2,379.99 –",https://www.newegg.com/hasee-t8pro-16-0-geforce-rtx-5080-laptop-gpu-qhd-32gb-memory-2-tb-ssd/p/2WC-004U-00053?Item=9SIC11UKGE3534&cm_sp=SP-_-2941133-_-0-_-0-_-9SIC11UKGE3534-_-laptop-_-laptop-_-17,Intel Core i9-14900HX,32GB,2TB,GeForce RTX 5080 Laptop GPU,T8Pro-T11-94212QX-2T
ACEMAGIC,"ACEMAGIC Laptop 16"" FHD RX16 AMD Ryzen 9 6900HX 16GB LPDDR5 512GB NVMe SSD Windows 11 Pro Backlit Keyboard WiFi 6",$598.00 –,https://www.newegg.com/acemagic-16-0-non-touch-screen-amd-ryzen-9-6900hx-amd-radeon-680m-16gb-memory-512gb-ssd/p/1TS-00NN-00017?Item=9SIBUU5KUR0044&cm_sp=SP-_-3263474-_-0-_-2-_-9SIBUU5KUR0044-_-laptop-_-laptop-_-18,AMD Ryzen 9 6900HX,16GB,512GB,AMD Radeon 680M,rx166900hx48
